DEMREL07,DEMID07,DEMSN07,RELPCG07,RELOCG07,SIBIND07,CH07PRWT,CH07WT,PCGRES07,OCGRES07,ASMRES07,CHRES07,TDRES07,CCDRES07,IWER07,SBLNUM07,BIOPR07,BIOGPR07
2,6516,2,1,0,1,5.9190001,6.7449999,1,0,1,1,5,1,3010,2,2,2
2,1381,2,1,0,5,4.7930002,5.5830002,1,0,1,1,1,1,3010,1,2,2
2,6516,3,1,0,1,5.8270001,6.5609999,1,0,1,1,5,1,3010,2,2,2
2,863,3,1,7,5,5.6589999,6.1810002,1,1,1,1,1,1,3008,3,2,1
2,1060,3,1,4,5,21.232,22.462999,1,1,1,1,1,0,3008,0,1,2
2,3692,3,1,13,5,4.132,4.8610001,1,1,1,1,1,1,3039,1,2,0
2,6537,4,3,0,5,3.447,3.78,1,0,1,1,1,1,3039,96,4,0
2,2606,3,1,0,5,2.0799999,2.349,1,0,1,1,1,1,3039,1,2,0
2,2353,3,1,4,5,21.385,21.929001,1,1,1,1,1,0,3038,1,1,2
2,2053,3,1,4,1,23.705999,26.291,1,1,1,1,1,1,3008,1,1,2
2,2053,4,1,4,1,23.063999,25.191999,1,1,1,1,1,0,3008,1,1,2
2,7314,3,1,0,5,62.673,70.478996,1,0,1,1,1,1,3035,1,2,0
2,195,3,1,4,5,16.011,17.094,1,1,1,1,1,1,3029,9,1,2
2,3260,3,1,4,1,22.870001,25.004999,1,1,1,1,1,0,3029,3,1,2
2,3260,4,1,4,1,22.836,25.396999,1,1,1,1,1,1,3029,3,1,2
2,3494,3,1,5,1,16.464001,18.059999,1,1,1,1,1,1,3021,1,2,2
2,3494,4,1,5,1,16.436001,18.371,1,1,1,1,1,1,3021,1,2,2
2,1441,3,1,4,5,13.167,13.727,1,1,1,1,1,1,3047,1,1,2
2,1451,2,1,0,5,18.368,20.632,1,0,1,1,1,1,3013,2,2,0
2,5201,3,1,6,1,31.84,33.568001,1,1,1,1,1,1,3038,3,2,2
2,5201,4,1,6,1,31.436001,32.935001,1,1,1,1,1,1,3038,3,2,2
2,1635,3,1,4,1,47.823002,53.636002,1,1,1,1,1,1,3033,1,1,2
2,1635,4,1,4,1,45.110001,0,1,1,5,5,1,5,3049,1,1,2
2,5806,3,1,5,5,22.101999,25.551001,1,1,1,1,1,1,3050,0,2,2
