GENREL07,GENID07,GENSN07,CH07_ID,CH07_PN,PCG07_ID,PCG07_PN,OCG07_ID,OCG07_PN
4,2749,4,5048,45,5048,30,0,0
4,2750,4,2427,35,2427,171,2427,4
4,2753,4,2432,52,2432,35,0,0
4,2753,5,2432,55,2432,35,0,0
4,2763,5,1258,33,1258,172,1258,4
4,2772,3,1540,178,1540,177,1540,5
4,2774,3,913,31,913,5,913,173
4,2784,5,2615,49,2615,7,2615,176
4,2792,3,2835,30,2835,4,2835,170
4,2792,4,2835,31,2835,4,2835,170
4,2795,3,432,32,432,172,432,4
4,2798,3,5443,37,5443,7,5443,171
4,2813,4,1407,32,1407,172,1407,3
4,2814,3,2030,41,2030,175,2030,5
4,2816,3,5458,173,5458,3,5458,1
4,2826,2,433,34,433,8,0,0
4,2831,2,22,31,22,173,0,0
4,2844,4,1522,42,1522,10,1522,176
4,2844,5,1522,43,1522,10,1522,176
4,2845,2,5366,49,5366,32,0,0
4,2861,3,2880,30,2880,5,2880,177
4,2861,4,2880,31,2880,5,2880,177
4,2862,2,5363,34,5363,30,0,0
4,2864,4,1613,39,1613,7,1613,175
4,2864,5,1613,42,1613,7,1613,175
4,2882,4,2672,32,2672,5,2672,170
4,2886,3,121,36,121,7,121,171
4,2888,2,99,32,99,171,99,905
4,2888,3,99,33,99,171,99,905
4,2896,2,2688,36,2688,31,0,0
4,2900,3,717,33,717,176,717,4
4,2902,3,1258,30,1258,3,1258,170
4,2902,4,1258,31,1258,3,1258,170
4,2904,3,2799,31,2799,5,2799,177
4,2904,4,2799,32,2799,5,2799,177
4,2909,3,1612,30,1612,170,1612,171
4,2916,2,5464,183,5464,184,0,0
4,2916,3,5464,43,5464,184,0,0
4,2918,5,6801,39,6801,3,0,0
4,2923,3,6210,37,6210,179,6210,6
4,2925,2,5683,183,5683,182,0,0
4,2928,2,2682,32,2682,5,0,0
4,2928,3,2682,33,2682,5,0,0
4,2932,3,1775,37,1775,5,0,0
4,2940,3,2727,36,2727,171,2727,21
4,2942,3,5570,204,5570,203,5570,33
4,2957,2,2436,37,2436,174,0,0
4,2967,3,128,30,128,172,128,4
4,2967,4,128,31,128,172,128,4
4,2969,3,2432,41,2432,33,2432,191
4,2969,4,2432,44,2432,33,2432,191
4,2973,3,2067,37,2067,188,2067,5
4,2974,2,5057,197,5057,190,0,0
4,2982,3,709,38,709,7,709,177
4,2982,4,709,39,709,7,709,177
4,2988,3,6200,40,6200,11,0,0
4,2988,4,6200,41,6200,11,0,0
4,2995,3,5048,46,5048,35,5048,180
4,2996,5,1841,36,1841,171,1841,4
4,2998,3,486,31,486,170,0,0
4,3002,3,178,34,178,171,178,4
4,3009,3,2893,31,2893,3,2893,176
4,3017,3,834,34,834,174,834,179
4,3017,4,834,35,834,174,834,179
4,3019,4,2277,35,2277,8,2277,178
4,3023,3,350,30,350,3,350,170
4,3023,4,350,31,350,3,350,170
4,3028,4,2590,43,2590,32,2590,175
4,3040,3,2916,31,2916,30,0,0
4,3040,4,2916,32,2916,30,0,0
4,3042,2,6854,173,6854,4,0,0
4,3043,2,1690,35,1690,174,1690,175
4,3043,3,1690,36,1690,174,1690,175
4,3048,4,5613,48,5613,172,5613,3
4,3053,3,935,34,935,4,935,30
4,3070,3,6370,40,6370,186,6370,32
4,3087,3,1954,33,1954,172,0,0
4,3089,3,2125,34,2125,6,2125,170
4,3099,3,1627,32,1627,30,1627,170
4,3104,3,5560,42,5560,35,5560,186
4,3107,3,2280,42,2280,173,2280,4
4,3107,4,2280,43,2280,173,2280,4
4,3113,2,2881,36,2881,32,0,0
4,3122,3,263,38,263,31,263,175
4,3128,2,6539,174,6539,170,0,0
4,3129,4,3223,4,3223,2,3223,1
4,3130,3,2177,33,2177,177,0,0
4,3132,3,706,177,706,5,706,175
4,3135,3,1955,30,1955,170,1955,3
4,3138,4,1335,52,1335,175,1335,10
4,3140,3,2285,36,2285,175,2285,4
4,3140,4,2285,37,2285,175,2285,4
4,3145,4,1485,34,1485,3,1485,171
4,3146,2,6361,30,6361,6,0,0
4,3155,4,2416,36,2416,6,2416,172
4,3156,3,1127,30,1127,172,1127,175
4,3159,2,1060,32,1060,31,0,0
4,3172,3,1142,31,1142,3,1142,170
4,3172,4,1142,32,1142,3,1142,170
4,3173,4,2030,40,2030,6,2030,172
4,3182,4,6335,35,6335,4,0,0
4,3182,5,6335,36,6335,4,0,0
4,3183,3,1233,34,1233,30,1233,173
4,3183,4,1233,35,1233,30,1233,173
4,3190,2,5241,172,5241,30,0,0
4,3197,3,2138,33,2138,30,2138,178
4,3200,2,6706,37,6706,176,0,0
4,3200,3,6706,38,6706,176,0,0
4,3208,2,6370,38,6370,31,0,0
4,3208,3,6370,42,6370,31,0,0
4,3227,3,5898,37,5898,3,5898,170
4,3240,3,2352,31,2352,170,2352,3
4,3240,4,2352,32,2352,170,2352,3
4,3244,3,1055,32,1055,172,1055,181
4,3253,3,2323,33,2323,31,2323,177
4,3253,4,2323,34,2323,31,2323,177
4,3254,3,2509,39,2509,3,2509,176
4,3254,4,2509,41,2509,3,2509,176
4,3255,3,2129,35,2129,183,0,0
4,3257,3,6485,39,6485,30,6485,189
4,3260,3,863,34,863,6,863,173
4,3260,4,863,35,863,6,863,173
4,3261,4,2355,176,2355,174,2355,179
4,3261,5,2355,33,2355,174,2355,179
4,3274,4,2164,41,2164,30,2164,176
4,3274,5,2164,42,2164,30,2164,176
4,3276,4,1762,42,1762,6,1762,195
4,3284,6,6150,34,6150,4,0,0
4,3286,2,5393,179,5393,171,0,0
4,3287,4,1542,39,1542,6,1542,179
4,3289,3,2895,33,2895,30,2895,176
4,3289,4,2895,34,2895,30,2895,176
4,3292,3,2240,175,2240,30,2240,1
4,3299,3,1542,37,1542,7,1542,177
4,3299,4,1542,40,1542,7,1542,177
4,3303,4,976,33,976,172,0,0
