FUPREL97,FUPID97,FUPSN97,WEEKDAY,WDTDMON,WDTDDAY,WDTDYR,WDIWMON,WDIWDAY,WDIWYR,WD_DAY,WD_A1,WD_A2,WD_SAQ,WD_FTF,WD_PHONE,WEEKEND,WETDMON,WETDDAY,WETDYR,WEIWMON,WEIWDAY,WEIWYR,WE_DAY,WE_A1,WE_A2,WE_SAQ,WE_FTF,WE_PHONE
3,1537,3,1,4,14,1997,4,15,1997,1,1,1,1,5,5,1,4,12,1997,4,15,1997,6,1,3,1,5,5
3,1537,4,1,4,14,1997,4,15,1997,1,1,1,1,5,5,1,4,12,1997,4,15,1997,6,1,4,1,5,5
3,2317,4,1,6,18,1997,6,18,1997,5,1,2,5,5,1,1,6,18,1997,6,18,1997,7,1,2,5,5,1
3,2084,3,1,3,31,1997,4,4,1997,1,1,4,5,1,5,1,3,31,1997,4,4,1997,7,1,4,5,1,5
3,2084,4,1,3,31,1997,4,4,1997,1,3,4,5,1,5,1,3,31,1997,4,4,1997,7,1,5,5,1,5
3,2631,4,1,5,14,1997,5,16,1997,3,3,5,1,5,5,1,5,12,1997,5,16,1997,6,3,5,1,5,5
3,2315,4,1,5,14,1997,5,18,1997,3,1,1,1,5,5,1,5,11,1997,5,18,1997,7,1,2,1,5,5
3,2632,3,1,5,15,1997,5,16,1997,4,1,2,1,5,5,1,5,11,1997,5,17,1997,7,1,2,1,5,5
3,3942,3,1,6,12,1997,6,13,1997,4,1,1,5,1,5,1,6,8,1997,6,13,1997,7,1,1,5,1,5
3,4783,4,1,5,16,1997,5,17,1997,5,2,2,1,5,1,1,5,11,1997,5,17,1997,7,1,9,5,5,1
3,2885,3,1,5,13,1997,5,14,1997,2,1,2,1,5,1,1,5,3,1997,5,14,1997,6,1,4,1,5,1
3,2885,4,1,5,13,1997,5,14,1997,2,1,2,1,5,1,1,5,3,1997,5,14,1997,6,1,4,1,5,1
3,3773,3,1,5,6,1997,5,28,1997,2,1,1,1,5,1,1,5,3,1997,5,28,1997,6,1,2,1,5,1
3,4709,4,1,6,4,1997,6,8,1997,3,1,3,1,1,1,1,6,1,1997,6,8,1997,7,1,2,1,1,1
3,3074,3,1,5,2,1997,5,4,1997,5,2,4,1,1,5,1,5,3,1997,5,4,1997,6,2,4,1,1,5
3,5402,3,1,6,3,1997,6,4,1997,2,1,3,5,1,5,1,5,31,1997,6,4,1997,6,1,3,5,1,5
3,547,3,1,3,28,1997,3,31,1997,5,4,2,5,5,1,1,3,30,1997,3,31,1997,7,1,4,5,5,1
3,3026,3,1,6,6,1997,6,10,1997,5,1,1,1,1,5,1,6,7,1997,6,10,1997,6,1,2,1,1,5
3,3026,4,1,6,6,1997,6,10,1997,5,1,1,1,1,5,1,6,7,1997,6,10,1997,6,1,2,1,1,5
