CHLDID02,CHLDSN02,PCGID02,PCGSN02,CDSHID02,PCGINST02,PCG68ID02,PCGPN02
1714,3,1714,2,357,1,1947,3
1715,3,1715,2,358,1,2047,5
1715,4,1715,2,358,1,2047,5
1718,3,1718,2,359,1,2022,170
1718,4,1718,2,359,1,2022,170
1719,2,1719,1,360,1,6335,31
1723,4,1723,2,361,1,706,5
1724,3,1724,2,362,1,2238,170
1724,4,1724,2,362,1,2238,170
1728,2,1728,3,363,1,1823,171
1730,3,1730,2,364,1,89,3
1737,4,1737,2,365,1,2271,3
1737,5,1737,2,365,1,2271,3
1738,3,1738,2,366,1,1142,171
1738,4,1738,2,366,1,1142,171
1747,3,1747,2,367,1,1682,4
1752,4,1752,2,368,1,1613,7
1752,5,1752,2,368,1,1613,7
1761,3,1761,2,369,1,1399,175
1761,4,1761,2,369,1,1399,175
1762,2,1762,1,370,1,691,171
1762,3,1762,1,370,1,691,171
1764,3,1764,1,371,1,1919,175
1764,4,1764,1,371,1,1919,175
1767,5,1767,2,372,1,2250,170
1771,2,1771,1,373,1,704,3
1771,3,1771,1,373,1,704,3
1780,5,1780,1,374,1,6335,4
1780,6,1780,1,374,1,6335,4
1782,3,1782,2,375,1,6839,172
1793,2,1793,1,376,1,6765,4
1793,3,1793,1,376,1,6765,4
1796,3,1796,2,377,1,1732,8
1796,4,1796,2,377,1,1732,8
1799,3,1799,2,378,1,6822,176
1799,4,1799,2,378,1,6822,176
1800,3,1800,2,379,1,90,171
1812,4,1812,2,380,1,5379,174
1812,5,1812,2,380,1,5379,174
1814,3,1814,1,381,1,2831,171
1814,4,1814,1,381,1,2831,171
1818,2,1818,1,382,1,2195,180
1819,2,1819,1,383,1,1399,6
1821,2,1821,1,384,1,452,30
1823,4,1823,2,385,1,1919,9
1823,5,1823,2,385,1,1919,9
1827,3,1827,2,386,1,2297,174
1836,4,1836,2,387,1,5613,8
1840,3,1840,2,388,1,935,3
1840,4,1840,2,388,1,935,3
1843,2,1843,1,389,1,840,38
1846,3,1846,2,390,1,495,33
1846,4,1846,2,390,1,495,33
1853,2,1853,1,391,1,2516,4
1853,3,1853,1,391,1,2516,4
1859,4,1859,2,392,1,2661,176
1866,3,1866,2,393,1,2055,5
1866,4,1866,2,393,1,2055,5
1867,3,1867,2,394,1,2055,181
1874,3,1874,2,395,1,1571,32
1876,3,1876,1,396,1,1908,174
1876,4,1876,1,396,1,1908,174
1878,3,1878,1,397,1,53,9
1878,4,1878,1,397,1,53,9
1883,3,1883,2,398,1,1695,11
1887,3,1887,2,399,1,1107,175
1887,4,1887,2,399,1,1107,175
1889,2,1889,1,400,1,654,30
1889,3,1889,1,400,1,654,30
1890,6,1890,2,401,1,3147,2
1892,3,1892,2,402,1,508,4
1892,4,1892,2,402,1,508,4
1893,3,1893,2,403,1,3161,2
1894,3,1894,1,404,1,6707,3
1902,3,0,0,1980,1,2516,170
1903,2,1903,1,405,1,1038,3
1906,3,1906,2,406,1,818,4
1906,5,1906,2,406,1,818,4
1907,4,1907,2,407,1,414,5
1912,4,1912,2,408,1,308,3
1914,2,1914,1,409,1,844,170
1914,3,1914,1,409,1,844,170
1920,3,1920,2,410,1,922,5
1921,4,1921,2,411,1,1399,7
1921,5,1921,2,411,1,1399,7
1923,4,1923,2,412,1,5714,2
1923,5,1923,2,412,1,5714,2
1925,3,1925,2,413,1,1901,2
1926,2,1926,1,414,1,5814,31
1926,4,1926,1,414,1,5814,31
1929,2,1929,1,415,1,2526,30
1930,3,1930,1,416,1,3345,1
1930,5,1930,1,416,1,3345,1
1948,4,1948,2,417,1,2053,172
1953,3,1953,2,418,1,856,5
1953,4,1953,2,418,1,856,5
1959,3,1959,2,419,1,2509,3
1959,4,1959,2,419,1,2509,3
1965,3,1965,2,420,1,2621,30
1968,3,1968,2,421,1,673,172
1968,4,1968,2,421,1,673,172
1969,2,1969,1,422,1,3205,1
1975,2,1975,1,423,1,5570,31
1979,2,1979,1,424,1,6780,6
1989,2,1989,1,425,1,6229,5
1989,3,1989,1,425,1,6229,5
1992,3,1992,2,426,1,126,3
1994,3,1994,2,427,1,2515,31
1994,4,1994,2,427,1,2515,31
1998,3,1998,2,428,1,2848,174
1998,4,1998,2,428,1,2848,174
2004,2,2004,1,429,1,1634,172
2004,3,2004,1,429,1,1634,172
2007,3,2007,2,430,1,3309,2
2007,4,2007,2,430,1,3309,2
2012,3,2012,2,431,1,220,170
2013,2,2013,1,432,1,1866,171
2016,3,2016,2,433,1,1947,171
2016,4,2016,2,433,1,1947,171
2020,2,2020,1,434,1,5065,34
2020,5,2020,1,434,1,5065,34
2022,3,2022,2,435,1,941,31
2022,4,2022,2,435,1,941,31
2025,5,2025,2,436,1,1663,3
2030,4,2030,2,437,1,5922,194
2050,3,2050,1,438,1,1621,171
2050,4,2050,1,438,1,1621,171
2054,2,2054,1,439,1,2594,3
2068,3,2068,2,440,1,5315,173
2068,5,2068,2,440,1,5315,173
2069,3,2069,2,441,1,2509,173
2069,4,2069,2,441,1,2509,173
2070,3,2070,2,442,1,2660,172
2070,4,2070,2,442,1,2660,172
2074,2,2074,1,443,1,1571,30
2074,3,2074,1,443,1,1571,30
2075,2,2075,1,444,1,1571,176
2076,2,2076,1,445,1,840,32
2076,3,2076,1,445,1,840,32
2087,2,2087,1,446,1,6485,30
2091,2,2091,1,447,1,2032,177
2091,3,2091,1,447,1,2032,177
2092,3,2092,1,448,1,6212,2
2092,4,2092,1,448,1,6212,2
2094,3,2094,2,449,1,1222,5
2098,3,2098,2,450,1,1613,172
2098,4,2098,2,450,1,1613,172
2105,3,2105,1,451,1,6093,6
2109,3,2109,2,452,1,2261,172
2109,4,2109,2,452,1,2261,172
2110,5,2110,2,453,1,2717,5
2111,4,2111,2,454,1,1394,3
2111,5,2111,2,454,1,1394,3
2113,4,2113,1,455,1,5826,175
2114,2,2114,1,456,1,1411,31
2120,3,2120,2,457,1,39,174
2123,2,0,0,1981,1,5569,172
2123,3,0,0,1981,1,5569,172
2133,4,2133,2,458,1,2680,3
2135,2,2135,1,459,1,6820,173
2135,3,2135,1,459,1,6820,173
2146,3,2146,2,460,1,2848,30
2146,4,2146,2,460,1,2848,30
2149,3,2149,2,461,1,1345,6
2152,3,2152,2,462,1,2902,3
2152,5,2152,2,462,1,2902,3
2153,4,2153,1,463,1,1411,4
2153,5,2153,1,463,1,1411,4
2164,3,2164,2,464,1,699,174
2164,4,2164,2,464,1,699,174
2165,4,2165,2,465,1,771,30
2166,3,2166,2,466,1,939,31
2183,5,2183,2,467,1,5623,172
2184,3,2184,2,468,1,257,174
2184,5,2184,2,468,1,257,174
2188,2,2188,1,469,1,5995,30
2188,3,2188,1,469,1,5995,30
2190,3,2190,2,470,1,2860,6
2190,4,2190,2,470,1,2860,6
2191,3,2191,2,471,1,625,5
2191,4,2191,2,471,1,625,5
2192,2,2192,1,472,1,1839,31
2192,3,2192,1,472,1,1839,31
2194,3,2194,2,473,1,2816,4
2200,3,2200,2,474,1,1695,210
