GENREL02,GENID01,GENSN01,CH_ID68,CH_PN,OCG_ID68,OCG_PN,PCG_ID68,PCG_PN
3,2013,2,1866,32,0,0,1866,171
3,2016,3,1947,31,1947,4,1947,171
3,2016,4,1947,32,1947,4,1947,171
3,2020,2,5065,39,0,0,5065,34
3,2020,5,5065,45,0,0,5065,34
3,2022,3,941,37,941,185,941,31
3,2022,4,941,39,941,185,941,31
3,2025,5,1663,37,1663,170,1663,3
3,2030,4,5922,39,5922,10,5922,194
3,2050,3,1621,31,1621,3,1621,171
3,2050,4,1621,32,1621,3,1621,171
3,2054,2,2594,30,0,0,2594,3
3,2068,3,5315,34,0,0,5315,173
3,2068,5,5315,36,0,0,5315,173
3,2069,3,2509,38,2509,4,2509,173
3,2069,4,2509,40,2509,4,2509,173
3,2070,3,2660,31,2660,3,2660,172
3,2070,4,2660,32,2660,3,2660,172
3,2074,2,1571,38,0,0,1571,30
3,2074,3,1571,39,0,0,1571,30
